English lemma,Swedish lemma,POS,status
directory structure,katalogstruktur,NP,automatically verified
directory,katalog,N,automatically verified
disabled disabling,inaktiverat invalidiserande,NP,automatically verified
disagreement,oenighet,N,automatically verified
disappear,försvinna,V,automatically verified
disaster response team,stödstyrka,NP,automatically verified
disaster,katastrof,N,automatically verified
disc,disk,N,automatically verified
discard discarded,kassera kasserad,NP,no processing rule for swedish POS sequence
disconnected operation,frånkopplade operationer,NP,could not lemmatize swedish adjective
discontinuous,diskontinuerlig,A,automatically verified
discourse,diskurs,N,automatically verified
discovery,upptäckt,N,automatically verified
discreet,diskret,A,automatically verified
discrete,diskret,A,automatically verified
discrete event,diskret händelse,NP,automatically verified
discrete event simulation,diskret händelsestyrd simulering,NP,no processing rule for swedish POS sequence
discrete mathematics,diskret matematik,NP,automatically verified
discretionary,oinskränkt,A,automatically verified
discuss discusses discussion,diskutera diskuteras diskussion,NP,no processing rule for swedish POS sequence
discuss,diskutera,V,automatically verified
disease,sjukdom,N,automatically verified
disk storage,disklagring,NP,automatically verified
disk,disk,N,automatically verified
dispatch dispatching,avsändande avsändning,NP,no processing rule for swedish POS sequence
display algorithms,visningsalgoritm,NP,automatically verified
display displays displaying,bildskärms visar uppvisar,NP,no processing rule for swedish POS sequence
display,uppvisa,V,automatically verified
display,bildskärm,N,automatically verified
disseminate dissemination,sprida spridning,NP,no processing rule for swedish POS sequence
dissipate,skingra,V,automatically verified
distance learning,distansinlärning,NP,automatically verified
distinct distinction distinctive,distinkt åtskillnad särskiljnings,NP,suspected särskriving
distribute,distribuera,V,automatically verified
distributed application,distribuerad tillämpning,NP,automatically verified
distributed architecture,distribuerad arkitektur,NP,automatically verified
distributed artificial intelligence,distribuerad artificiell intelligens,NP,no processing rule for swedish POS sequence
distributed commercial transaction,distribuerad handelstransaktion,NP,automatically verified
distributed computing,distribuerad databehandling,NP,automatically verified
distributed data structure,distribuerad datastruktur,NP,automatically verified
distributed database,distribuerad databas,NP,automatically verified
distributed debugging,distribuerad avlusning,NP,automatically verified
distributed distribution distributing,distribuerad fördelning fördelande,NP,no processing rule for swedish POS sequence
distributed file system,distribuerat filsystem,NP,automatically verified
distributed memory,distribuerat minne,NP,automatically verified
distributed network,distribuerat nät,NP,automatically verified
distributed object,distribuerat objekt,NP,automatically verified
distributed programming,distribuerad programmering,NP,automatically verified
distributed security scheme,distribuerat säkerhetschema,NP,automatically verified
distributed social network,distribuerade sociala nätverk,NP,no processing rule for swedish POS sequence
distributed software development,distribuerad mjukvaruutveckling,NP,automatically verified
distributed system,distribuerat system,NP,automatically verified
distributed system,distribuerat system,NP,automatically verified
distributed system,distribuerat system,NP,automatically verified
distributed system,distribuerat system,NP,automatically verified
distribution,distribution,N,automatically verified
distribution,distribution,N,automatically verified
distributor,återförsäljare,N,automatically verified
divide divided dividing division,klyftan uppdelad skilje divisionen,NP,suspected särskriving
divide,dela,V,automatically verified
division,division,N,automatically verified
document analysis,dokumentanalys,NP,automatically verified
document capture,dokumentfångst,NP,automatically verified
document documents documented,dokument dokumenterade,NP,no processing rule for swedish POS sequence
document management,dokumenthantering,NP,automatically verified
document management,dokumenthantering,NP,automatically verified
document preparation,dokumentpreparering,NP,automatically verified
document,dokumentera,V,automatically verified
document,dokument,N,automatically verified
documentation,dokumentation,N,automatically verified
documentation,dokumentation,N,automatically verified
do,göra,V,automatically verified
domain domain,domän domäner,NP,suspected särskriving
domain name system,domännamnssystemet,NP,automatically verified
domain name system,domännamnssystem,NP,automatically verified
domain name,domännamn,NP,automatically verified
domain specific language,domänspecifikt språk,NP,automatically verified
domain specific visual language,domänspecifikt bildspråk,NP,automatically verified
domain,domän,N,automatically verified
domain-specific architecture,domänspecifik arkitektur,NP,automatically verified
domain-specific language,domänspecifikt språk,NP,automatically verified
dominate dominant,dominera dominerande,NP,no processing rule for swedish POS sequence
donor,donator,N,automatically verified
door lock,dörrlås,NP,automatically verified
dot,punkt,N,automatically verified
double,fördubbla,V,automatically verified
downgrade downgraded downgrading,nedgradera nedgraderade nedgradering,NP,no processing rule for swedish POS sequence
draft draft,utkast,NP,automatically verified
drag,dra,V,automatically verified
drain,dränera,V,automatically verified
drive driven driving,driv kört körning,NP,no processing rule for swedish POS sequence
drive,disk,N,automatically verified
drop dropped dropping,släppa tappade dropp,NP,no processing rule for swedish POS sequence
duct,kanal,N,automatically verified
dynamic,dynamisk,A,automatically verified
dynamic allocation,dynamisk allokering,NP,automatically verified
dynamic amplification,dynamisk förstoring,NP,automatically verified
dynamic distributed derived data management system,dynamisk distribuerad härrör datahanteringssystem,NP,no processing rule for swedish POS sequence
dynamic dynamically,dynamisk dynamiskt,NP,no processing rule for swedish POS sequence
dynamic memory,dynamiskt ram-minne,NP,automatically verified
dynamic programming,dynamisk programmering,NP,automatically verified
dynamic programming,dynamisk programmering,NP,automatically verified
dynamic programming,dynamisk programmering,NP,automatically verified
dynamic response,dynamisk respons,NP,automatically verified
